3899.95,4680.8076,5034.251,0.637,0.047,15,255,270
3899.95,4673.9976,5020.8857,0.65,0.051,15,270,285
3899.95,4667.188,5007.5205,0.686,0.052,15,285,300
3899.95,4660.3779,4994.1558,0.589,0.039,15,300,315
3899.95,4653.5679,4980.7905,0.7,0.044,15,315,330
3899.95,4646.7583,4967.4253,0.657,0.067,15,330,345
3899.95,4639.9482,4954.0605,0.695,0.063,15,345,360
3899.95,4633.1387,4940.6953,0.625,0.046,15,360,375
3899.95,4626.3286,4927.3301,0.615,0.044,15,375,390
3899.95,4619.5186,4913.9648,0.695,0.11,15,390,405
3899.95,4612.709,4900.6001,0.72,0.107,15,405,420
3899.95,4605.8989,4887.2349,0.605,0.046,15,420,435
3899.95,4599.0894,4873.8696,0.59,0.057,15,435,450
3899.95,4592.2793,4860.5044,0.63,0.065,15,450,465
3899.95,4585.4692,4847.1396,0.585,0.035,15,465,480
3899.95,4578.6597,4833.7744,0.63,0.04,15,480,495
3899.95,4571.8496,4820.4092,0.585,0.042,15,495,510
3899.95,4565.04,4807.0444,0.795,0.039,15,510,525
3899.95,4558.23,4793.6792,0.59,0.039,15,525,540
3899.95,4551.4204,4780.314,0.625,0.042,15,540,555
3899.95,4544.6104,4766.9487,0.53,0.113,15,555,570
3899.95,4537.8003,4753.584,0.585,0.064,15,570,585
3899.95,4530.9907,4740.2188,0.575,0.062,15,585,600
3899.95,4524.1807,4726.8535,0.64,0.046,15,600,615
3899.95,4517.3711,4713.4888,0.575,0.035,15,615,630
3899.95,4510.561,4700.1235,0.685,0.045,15,630,645
3899.95,4506.021,4691.2134,0.55,0.04,5,645,650
3899.95,4382.9556,5217.9375,0.588,0.049,15,30,45
3899.95,4376.1455,5204.5723,0.641,0.065,15,45,60
3899.95,4369.3354,5191.207,0.656,0.069,15,60,75
3899.95,4362.5259,5177.8423,0.554,0.044,15,75,90
3899.95,4355.7158,5164.4771,0.643,0.074,15,90,105
3899.95,4348.9062,5151.1118,0.56,0.051,15,105,120
3899.95,4342.0962,5137.7466,0.585,0.053,15,120,135
