889,-600,-2821800
869,-600,-2821400
860,-600,-2821000
834,-600,-2820600
787,-600,-2820200
792,-600,-2819800
738,-600,-2819400
724,-600,-2819000
697,-600,-2818600
671,-600,-2818200
637,-600,-2817800
604,-600,-2817400
593,-600,-2817000
627,-600,-2816600
652,-600,-2816200
641,-600,-2815800
648,-600,-2815400
666,-600,-2815000
673,-600,-2814600
674,-600,-2814200
675,-600,-2813800
681,-600,-2813400
688,-600,-2813000
743,-600,-2812600
729,-600,-2812200
706,-600,-2811800
714,-600,-2811400
744,-600,-2811000
779,-600,-2810600
798,-600,-2810200
801,-600,-2809800
856,-600,-2809400
871,-600,-2809000
870,-600,-2808600
818,-600,-2808200
840,-600,-2807800
843,-600,-2807400
844,-600,-2807000
866,-600,-2806600
900,-600,-2806200
920,-600,-2805800
928,-600,-2805400
940,-600,-2805000
926,-600,-2804600
925,-600,-2804200
931,-600,-2803800
946,-600,-2803400
960,-600,-2803000
955,-600,-2802600
947,-600,-2802200
953,-600,-2801800
925,-600,-2801400
936,-600,-2801000
932,-600,-2800600
939,-600,-2800200
956,-600,-2799800
985,-600,-2799400
946,-600,-2799000
928,-600,-2798600
928,-600,-2798200
935,-600,-2797800
957,-600,-2797400
959,-600,-2797000
990,-600,-2796600
968,-600,-2796200
962,-600,-2795800
964,-600,-2795400
956,-600,-2795000
930,-600,-2794600
936,-600,-2794200
964,-600,-2793800
948,-600,-2793400
958,-600,-2793000
963,-600,-2792600
955,-600,-2792200
972,-600,-2791800
995,-600,-2791400
1006,-600,-2791000
985,-600,-2790600
999,-600,-2790200
974,-600,-2789800
961,-600,-2789400
971,-600,-2789000
974,-600,-2788600
950,-600,-2788200
932,-600,-2787800
949,-600,-2787400
960,-600,-2787000
981,-600,-2786600
1024,-600,-2786200
1051,-600,-2785800
1003,-600,-2785400
961,-600,-2785000
953,-600,-2784600
915,-600,-2784200
942,-600,-2783800
946,-600,-2783400
887,-600,-2783000
908,-600,-2782600
942,-600,-2782200
968,-600,-2781800
993,-600,-2781400
1023,-600,-2781000
1015,-600,-2780600
1006,-600,-2780200
1001,-600,-2779800
1024,-600,-2779400
1020,-600,-2779000
1003,-600,-2778600
1008,-600,-2778200
969,-600,-2777800
944,-600,-2777400
890,-600,-2777000
898,-600,-2776600
866,-600,-2776200
822,-600,-2775800
835,-600,-2775400
783,-600,-2775000
784,-600,-2774600
767,-600,-2774200
739,-600,-2773800
757,-600,-2773400
